post_id,title,category,score,num_comments,author,collected_at
47768195,"Spain to expand internet blocks to tennis, golf, movies broadcasting times",technology,148,100,akyuu,2026-04-14 23:44:22
47768133,Claude Code Routines,technology,92,50,matthieu_bl,2026-04-14 23:44:22
47767676,5NF and Database Design,technology,51,14,petalmind,2026-04-14 23:44:22
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,technology,40,15,zc2610,2026-04-14 23:44:22
47767606,Show HN: Kelet – Root Cause Analysis agent for your LLM apps,technology,25,11,almogbaku,2026-04-14 23:44:22
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,43,12,mc-serious,2026-04-14 23:44:22
47767119,"Show HN: A memory database that forgets, consolidates, and detects contradiction",technology,6,1,pranabsarkar,2026-04-14 23:44:22
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,94,44,tie-in,2026-04-14 23:44:22
47768756,All 5 units of life's genetic code were just discovered in an asteroid sample,technology,7,1,PaulHoule,2026-04-14 23:44:22
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,technology,25,0,hn_acker,2026-04-14 23:44:22
47728970,"Write less code, be more responsible",technology,151,100,orhunp_,2026-04-14 23:44:22
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,64,8,adunk,2026-04-14 23:44:22
47753689,Building a CLI for all of Cloudflare,technology,322,106,soheilpro,2026-04-14 23:44:22
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,21,2,apollinaire,2026-04-14 23:44:22
47766330,To teach in the era of ChatGPT is to know pain,technology,25,4,ckemere,2026-04-14 23:44:22
47708457,Rust Threads on the GPU,technology,111,37,PaulHoule,2026-04-14 23:44:22
47729046,Air Powered Segment Display? [video],technology,127,12,ProfDreamer,2026-04-14 23:44:22
47764833,Stanford HAI Index Report 2026,technology,6,1,giuliomagnifico,2026-04-14 23:44:22
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,86,30,mufeedvh,2026-04-14 23:44:22
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,140,33,galaxyLogic,2026-04-14 23:44:22
